Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,algo_label,series
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-6.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,6.0,0.98,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,38.66409921646118,7,1.0,False,5,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-7.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,7.0,0.98,AdultIncomeFeatureSelection,7.3315920622964725,6.5967261949971885,102.28380799293518,33,1.0,False,5,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-8.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,8.0,0.98,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,115.29176759719849,19,1.0,False,6,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-9.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,9.0,0.98,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,329.62993240356445,70,1.0,False,7,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-10.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,10.0,0.98,AdultIncomeFeatureSelection,8.728535326320129,9.56382029461844,618.279294013977,92,1.0,False,7,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-11.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,11.0,0.98,AdultIncomeFeatureSelection,8.83943887520972,10.568743844147996,1688.6561064720154,244,1.0,False,7,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-12.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,12.0,0.98,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,22.58576774597168,1,1.0,,8,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-13.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,13.0,0.98,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,26.265940189361572,1,1.0,,9,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-14.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,14.0,0.98,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,23.89501404762268,1,1.0,,9,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub2-d-15.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub2,d,15.0,0.98,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,23.794348001480103,1,1.0,,10,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\adult\111\0\EfficientBranchAndBound-none-ub0-d-6.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBranchAndBound,none,ub0,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,6.160754442214966,5,,False,5,EBB,EBB (ub0)
..\result\archive-108\adult\111\0\EfficientBranchAndBound-none-ub0-d-8.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBranchAndBound,none,ub0,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,10.189254999160767,8,,False,6,EBB,EBB (ub0)
..\result\archive-108\adult\111\0\EfficientBranchAndBound-none-ub0-d-14.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBranchAndBound,none,ub0,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,2.998389482498169,1,,False,9,EBB,EBB (ub0)
..\result\archive-108\adult\111\0\EfficientBranchAndBound-none-ub0-d-15.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBranchAndBound,none,ub0,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.411698881418511,3.2679431438446045,1,,False,10,EBB,EBB (ub0)
..\result\archive-108\adult\111\0\EfficientBranchAndBound-none-ub0-d-6.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBranchAndBound,none,ub0,d,6.0,0.98,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,6.055053472518921,5,,False,5,EBB,EBB (ub0)
..\result\archive-108\adult\111\0\EfficientBranchAndBound-none-ub0-d-8.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBranchAndBound,none,ub0,d,8.0,0.98,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,14.050461769104004,11,,False,6,EBB,EBB (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-6.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,209.80914998054504,1,1.0,,4,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-7.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,201.12062621116638,1,1.0,,5,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-8.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,278.35006284713745,2,1.0,False,6,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-9.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,556.0512075424194,5,1.0,False,6,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-10.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,360.5310981273651,3,1.0,False,7,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-11.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,174.17266988754272,1,1.0,,8,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-12.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,177.95186376571655,1,1.0,,9,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-13.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,358.93483567237854,3,1.0,False,10,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-14.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,14.0,0.95,CalTechMaximization,626.8395919257168,13.812851698243652,900.8721780776978,9,1.0,False,10,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-15.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,365.2627775669098,3,1.0,False,11,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-6.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,6.0,0.98,CalTechMaximization,332.9995976277473,5.973043973728588,303.63699555397034,1,1.0,False,4,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-7.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,7.0,0.98,CalTechMaximization,381.6827077759318,6.988963521608006,279.114559173584,1,1.0,False,5,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-8.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,8.0,0.98,CalTechMaximization,407.64305825897264,7.850697868579635,1552.4825539588928,15,1.0,False,6,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-9.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,9.0,0.98,CalTechMaximization,448.33609283488715,8.830875774531378,2328.047957420349,23,1.0,False,6,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-10.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,10.0,0.98,CalTechMaximization,491.76770842584773,9.734410451799395,1376.4122369289398,15,1.0,False,7,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-11.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,11.0,0.98,CalTechMaximization,535.0740645548774,10.81933786109785,669.8254218101501,7,1.0,False,8,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-12.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,12.0,0.98,CalTechMaximization,575.8371528682162,11.957783788078373,575.8545422554016,6,1.0,False,9,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-13.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,13.0,0.98,CalTechMaximization,601.2784189472019,12.982269016325954,988.8616306781769,11,1.0,False,10,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-14.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,14.0,0.98,CalTechMaximization,641.4785233062679,13.895647692875443,2268.069055080414,26,1.0,False,10,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub0-d-15.0-0.98-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub0,d,15.0,0.98,CalTechMaximization,678.7285939257744,14.887483293791728,800.8170676231384,9,1.0,False,11,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-6.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,198.34107542037964,1,1.0,,4,EfficientBFS,EfficientBFS (ub2)
..\result\archive-108\caltech\769\0\EfficientBFS-traditional-ub2-d-7.0-0.95-CalTechMaximization.pckl,108,caltech,769,0,EfficientBFS,traditional,ub2,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,190.74747514724731,1,1.0,,5,EfficientBFS,EfficientBFS (ub2)
