task,alpha,budget,algorithm,heuristic,aux_heuristic,node_count,time_s,tle
caltech,0.98,11.0,EfficientBFS,ub0,ub0,7.0,587.6182870864868,False
caltech,0.98,11.0,EfficientBFS,ub2,ub2,6.0,533.5463361740112,False
caltech,0.98,12.0,EfficientBFS,ub0,ub0,6.0,523.9955570697784,False
caltech,0.98,12.0,EfficientBFS,ub2,ub2,5.0,460.02493596076965,False
caltech,0.98,13.0,EfficientBFS,ub0,ub0,11.0,897.8827610015869,False
caltech,0.98,13.0,EfficientBFS,ub2,ub2,10.0,912.7893433570862,False
caltech,0.98,14.0,EfficientBFS,ub0,ub0,26.0,2135.652864933014,False
caltech,0.98,14.0,EfficientBFS,ub2,ub2,26.0,2339.5061762332916,False
caltech,0.98,15.0,EfficientBFS,ub0,ub0,9.0,730.7331914901733,False
caltech,0.98,15.0,EfficientBFS,ub2,ub2,8.0,787.6065158843994,False
facebook,0.95,6.0,BFSTC,ub0,ub0,29.0,5000.715343236923,True
facebook,0.95,6.0,EfficientBFS,ub0,ub0,1.0,0.25019335746765137,False
facebook,0.95,6.0,EfficientBFS,ub2,ub2,1.0,0.287243127822876,False
facebook,0.95,6.0,EfficientBranchAndBound,ub0,ub0,2128.0,5000.385300159454,True
facebook,0.95,7.0,BFSTC,ub0,ub0,991.0,5000.783350944519,True
facebook,0.95,7.0,EfficientBFS,ub0,ub0,5.0,4.757982015609741,False
facebook,0.95,7.0,EfficientBFS,ub2,ub2,1.0,0.455322265625,False
facebook,0.95,7.0,EfficientBranchAndBound,ub0,ub0,2342.0,5000.1009068489075,True
facebook,0.95,8.0,BFSTC,ub0,ub0,8.0,5000.2313096523285,True
facebook,0.95,8.0,EfficientBFS,ub0,ub0,5.0,4.775385141372681,False
facebook,0.95,8.0,EfficientBFS,ub2,ub2,1.0,0.8337068557739258,False
facebook,0.95,8.0,EfficientBranchAndBound,ub0,ub0,2413.0,5000.356286048889,True
facebook,0.95,9.0,BFSTC,ub0,ub0,7.0,5000.448041915894,True
facebook,0.95,9.0,EfficientBFS,ub0,ub0,11.0,25.359665632247925,False
facebook,0.95,9.0,EfficientBFS,ub2,ub2,1.0,1.0834202766418457,False
facebook,0.95,9.0,EfficientBranchAndBound,ub0,ub0,2504.0,5000.102979660034,True
facebook,0.95,10.0,BFSTC,ub0,ub0,6.0,5000.939079284668,True
facebook,0.95,10.0,EfficientBranchAndBound,ub0,ub0,2022.0,5000.003976345062,True
facebook,0.95,11.0,BFSTC,ub0,ub0,6.0,5000.014950752258,True
facebook,0.95,11.0,EfficientBFS,ub0,ub0,22.0,56.89326477050781,False
facebook,0.95,11.0,EfficientBFS,ub2,ub0,1.0,1.2994210720062256,False
facebook,0.95,11.0,EfficientBranchAndBound,ub0,ub0,2005.0,5000.522864341736,True
facebook,0.95,12.0,BFSTC,ub0,ub0,6.0,5001.230336666107,True
facebook,0.95,12.0,EfficientBFS,ub0,ub0,28.0,73.16997718811035,False
facebook,0.95,12.0,EfficientBFS,ub2,ub0,1.0,1.7263221740722656,False
facebook,0.95,12.0,EfficientBranchAndBound,ub0,ub0,1998.0,5000.006811141968,True
facebook,0.95,13.0,BFSTC,ub0,ub0,6.0,5000.616335868835,True
facebook,0.95,13.0,EfficientBFS,ub0,ub0,43.0,95.10503339767456,False
facebook,0.95,13.0,EfficientBFS,ub2,ub0,7.0,12.510188102722168,False
facebook,0.95,13.0,EfficientBranchAndBound,ub0,ub0,1535.0,5000.751431465149,True
facebook,0.95,14.0,BFSTC,ub0,ub0,6.0,5001.754254579544,True
facebook,0.95,14.0,EfficientBFS,ub0,ub0,49.0,107.40415787696838,False
facebook,0.95,14.0,EfficientBFS,ub2,ub0,7.0,12.747599840164185,False
facebook,0.95,14.0,EfficientBranchAndBound,ub0,ub0,1981.0,5000.010445833206,True
facebook,0.95,15.0,BFSTC,ub0,ub0,6.0,5001.320256471634,True
facebook,0.95,15.0,EfficientBFS,ub0,ub0,115.0,305.1189489364624,False
facebook,0.95,15.0,EfficientBFS,ub2,ub0,20.0,44.68055176734924,False
facebook,0.95,15.0,EfficientBranchAndBound,ub0,ub0,1733.0,5000.008182287216,True
facebook,0.98,6.0,EfficientBFS,ub0,ub0,16.0,34.55984878540039,False
facebook,0.98,6.0,EfficientBFS,ub2,ub2,16.0,31.59361505508423,False
facebook,0.98,7.0,EfficientBFS,ub0,ub0,12.0,23.840254545211792,False
facebook,0.98,7.0,EfficientBFS,ub2,ub2,11.0,18.481919050216675,False
facebook,0.98,8.0,EfficientBFS,ub0,ub0,20.0,51.48621153831482,False
facebook,0.98,8.0,EfficientBFS,ub2,ub2,12.0,19.46185541152954,False
facebook,0.98,9.0,EfficientBFS,ub0,ub0,24.0,66.90211844444275,False
facebook,0.98,9.0,EfficientBFS,ub2,ub2,13.0,25.76279044151306,False
facebook,0.98,10.0,EfficientBFS,ub0,ub0,31.0,77.76426267623901,False
facebook,0.98,10.0,EfficientBFS,ub2,ub2,14.0,28.85519790649414,False
facebook,0.98,11.0,EfficientBFS,ub0,ub0,41.0,115.84794569015503,False
facebook,0.98,11.0,EfficientBFS,ub2,ub2,20.0,50.28813147544861,False
facebook,0.98,12.0,EfficientBFS,ub0,ub0,64.0,175.70067977905273,False
facebook,0.98,12.0,EfficientBFS,ub2,ub2,36.0,80.93410134315491,False
facebook,0.98,13.0,EfficientBFS,ub0,ub0,91.0,253.65618181228638,False
facebook,0.98,13.0,EfficientBFS,ub2,ub2,43.0,100.05061459541321,False
facebook,0.98,14.0,EfficientBFS,ub0,ub0,166.0,571.9652237892151,False
facebook,0.98,14.0,EfficientBFS,ub2,ub2,68.0,201.6022346019745,False
facebook,0.98,15.0,EfficientBFS,ub0,ub0,337.0,1107.385397195816,False
facebook,0.98,15.0,EfficientBFS,ub2,ub2,108.0,330.120885848999,False
youtube,0.95,7.0,BFSTC,ub0,ub0,31.0,5000.297391653061,True
youtube,0.95,7.0,EfficientBFS,ub0,ub0,2.0,0.47631239891052246,False
youtube,0.95,7.0,EfficientBFS,ub2,ub2,2.0,0.4240586757659912,False
youtube,0.95,7.0,EfficientBranchAndBound,ub0,ub0,2.0,0.046938419342041016,False
youtube,0.95,8.0,BFSTC,ub0,ub0,46.0,5000.0799605846405,True
youtube,0.95,8.0,EfficientBFS,ub0,ub0,1.0,0.09415936470031738,False
youtube,0.95,8.0,EfficientBFS,ub2,ub2,1.0,0.09419465065002441,False
youtube,0.95,8.0,EfficientBranchAndBound,ub0,ub0,2.0,0.04696774482727051,False
youtube,0.95,9.0,BFSTC,ub0,ub0,43.0,5000.480872869492,True
youtube,0.95,9.0,EfficientBFS,ub0,ub0,1.0,0.0926063060760498,False
youtube,0.95,9.0,EfficientBFS,ub2,ub2,1.0,0.16187691688537598,False
youtube,0.95,9.0,EfficientBranchAndBound,ub0,ub0,2.0,0.1543734073638916,False
youtube,0.95,10.0,BFSTC,ub0,ub0,1.0,0.19384551048278809,False
youtube,0.95,10.0,EfficientBranchAndBound,ub0,ub0,1.0,0.04733681678771973,False
youtube,0.95,11.0,BFSTC,ub0,ub0,1.0,0.1580033302307129,False
youtube,0.95,11.0,EfficientBFS,ub0,ub0,1.0,0.11933112144470215,False
