task,alpha,budget,algorithm,heuristic,aux_heuristic,series_label,node_count,tle
caltech,0.98,10.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,15.0,False
caltech,0.98,10.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,14.0,False
caltech,0.98,11.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,7.0,False
caltech,0.98,11.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,6.0,False
caltech,0.98,12.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,6.0,False
caltech,0.98,12.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,5.0,False
caltech,0.98,13.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,11.0,False
caltech,0.98,13.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,10.0,False
caltech,0.98,14.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,26.0,False
caltech,0.98,14.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,26.0,False
caltech,0.98,15.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,9.0,False
caltech,0.98,15.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,8.0,False
facebook,0.95,6.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,29.0,True
facebook,0.95,6.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
facebook,0.95,6.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
facebook,0.95,6.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2128.0,True
facebook,0.95,7.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,991.0,True
facebook,0.95,7.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
facebook,0.95,7.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
facebook,0.95,7.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2342.0,True
facebook,0.95,8.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,8.0,True
facebook,0.95,8.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,5.0,False
facebook,0.95,8.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
facebook,0.95,8.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2413.0,True
facebook,0.95,9.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,7.0,True
facebook,0.95,9.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,11.0,False
facebook,0.95,9.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
facebook,0.95,9.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2504.0,True
facebook,0.95,10.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,6.0,True
facebook,0.95,10.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2022.0,True
facebook,0.95,11.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,6.0,True
facebook,0.95,11.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,22.0,False
facebook,0.95,11.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
facebook,0.95,11.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2005.0,True
facebook,0.95,12.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,6.0,True
facebook,0.95,12.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,28.0,False
facebook,0.95,12.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
facebook,0.95,12.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,1998.0,True
facebook,0.95,13.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,6.0,True
facebook,0.95,13.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,43.0,False
facebook,0.95,13.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,7.0,False
facebook,0.95,13.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,1535.0,True
facebook,0.95,14.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,6.0,True
facebook,0.95,14.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,49.0,False
facebook,0.95,14.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,7.0,False
facebook,0.95,14.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,1981.0,True
facebook,0.95,15.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,6.0,True
facebook,0.95,15.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,115.0,False
facebook,0.95,15.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,20.0,False
facebook,0.95,15.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,1733.0,True
facebook,0.95,16.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,136.0,False
facebook,0.95,16.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,21.0,False
facebook,0.95,17.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,201.0,False
facebook,0.95,17.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,23.0,False
facebook,0.95,18.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,295.0,False
facebook,0.95,18.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,27.0,False
facebook,0.95,19.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,474.0,False
facebook,0.95,19.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,33.0,False
facebook,0.95,20.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,620.0,False
facebook,0.95,20.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,34.0,False
facebook,0.98,6.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,16.0,False
facebook,0.98,6.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,16.0,False
facebook,0.98,7.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,12.0,False
facebook,0.98,7.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,11.0,False
facebook,0.98,8.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,20.0,False
facebook,0.98,8.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,12.0,False
facebook,0.98,9.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,24.0,False
facebook,0.98,9.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,13.0,False
facebook,0.98,10.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,31.0,False
facebook,0.98,10.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,14.0,False
facebook,0.98,11.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,41.0,False
facebook,0.98,11.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,20.0,False
facebook,0.98,12.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,64.0,False
facebook,0.98,12.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,36.0,False
facebook,0.98,13.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,91.0,False
facebook,0.98,13.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,43.0,False
facebook,0.98,14.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,166.0,False
facebook,0.98,14.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,68.0,False
facebook,0.98,15.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,337.0,False
facebook,0.98,15.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,108.0,False
youtube,0.95,6.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,37.0,True
youtube,0.95,6.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,9414.0,True
youtube,0.95,6.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,9937.0,True
youtube,0.95,6.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,19170.0,True
youtube,0.95,7.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,31.0,True
youtube,0.95,7.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,2.0,False
youtube,0.95,7.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,2.0,False
youtube,0.95,7.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
youtube,0.95,8.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,46.0,True
youtube,0.95,8.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,8.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,8.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
youtube,0.95,9.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,43.0,True
youtube,0.95,9.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,9.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,9.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
youtube,0.95,10.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,1.0,False
youtube,0.95,10.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,1.0,False
youtube,0.95,11.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,1.0,False
youtube,0.95,11.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,11.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,11.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,1.0,False
youtube,0.95,12.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,1.0,False
youtube,0.95,12.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,12.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,12.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,1.0,False
youtube,0.95,13.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,14.0,True
youtube,0.95,13.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,13.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,13.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
youtube,0.95,14.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,19.0,True
youtube,0.95,14.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
youtube,0.95,14.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
youtube,0.95,14.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,2.0,False
youtube,0.95,15.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,19.0,True
youtube,0.95,15.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,1.0,False
