Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
facebook,1000,0,EfficientBFS,Standard,ub2,,14.0,0.98,,462.0,13.351527620372957,2.637666940689087,1,1.0,False,10
facebook,1000,0,EfficientBFS,Standard,ub2,,15.0,0.95,,478.0,14.714463277969013,107.50494265556335,40,1.0,False,10
facebook,1000,0,EfficientBFS,Standard,ub2,,15.0,0.98,,478.0,14.714463277969013,3.1553590297698975,1,1.0,False,10
youtube,1000,0,BFSTC,,ub0,d,6.0,0.95,YoutubeCoverage,18.0,5.845890557369895,5000.0,37,20278.0,True,5
youtube,1000,0,BFSTC,,ub0,d,7.0,0.95,YoutubeCoverage,23.0,6.044828632797984,5000.0,31,17474.0,True,2
youtube,1000,0,BFSTC,,ub0,d,8.0,0.95,YoutubeCoverage,26.0,7.112734725094761,5000.0,46,14858.0,True,3
youtube,1000,0,BFSTC,,ub0,d,9.0,0.95,YoutubeCoverage,28.0,8.11421409556402,5000.0,43,8300.0,True,4
youtube,1000,0,BFSTC,,ub0,d,10.0,0.95,YoutubeCoverage,30.0,9.146583780220634,0.19384551048278809,1,0.0,False,5
youtube,1000,0,BFSTC,,ub0,d,11.0,0.95,YoutubeCoverage,32.0,10.676746640047597,0.1580033302307129,1,0.0,False,6
youtube,1000,0,BFSTC,,ub0,d,12.0,0.95,YoutubeCoverage,33.0,11.67857289904319,0.07300233840942383,1,0.0,False,7
youtube,1000,0,BFSTC,,ub0,d,13.0,0.95,YoutubeCoverage,34.0,12.219069745533055,5000.0,14,12871.0,True,7
youtube,1000,0,BFSTC,,ub0,d,14.0,0.95,YoutubeCoverage,35.0,13.220896004528647,5000.0,19,17438.0,True,8
youtube,1000,0,BFSTC,,ub0,d,15.0,0.95,YoutubeCoverage,36.0,14.22295358796627,5000.0,19,16956.0,True,9
youtube,1000,0,Efficient,,ub0,d,6.0,0.95,YoutubeCoverage,18.0,5.845890557369895,5000.0,19170,,True,5
youtube,1000,0,Efficient,,ub2,d,6.0,0.95,YoutubeCoverage,18.0,5.845890557369895,0.32943177223205566,3,,False,5
youtube,1000,0,Efficient,,ub0,d,7.0,0.95,YoutubeCoverage,23.0,6.044828632797984,0.046938419342041016,2,,False,2
youtube,1000,0,Efficient,,ub0,d,8.0,0.95,YoutubeCoverage,26.0,7.112734725094761,0.04696774482727051,2,,False,3
youtube,1000,0,Efficient,,ub0,d,9.0,0.95,YoutubeCoverage,28.0,8.11421409556402,0.1543734073638916,2,,False,4
youtube,1000,0,Efficient,,ub0,d,10.0,0.95,YoutubeCoverage,30.0,9.146583780220634,0.04733681678771973,1,,False,5
youtube,1000,0,Efficient,,ub0,d,11.0,0.95,YoutubeCoverage,32.0,10.676746640047597,0.047295331954956055,1,,False,6
youtube,1000,0,Efficient,,ub0,d,12.0,0.95,YoutubeCoverage,33.0,11.67857289904319,0.07855558395385742,1,,False,7
youtube,1000,0,Efficient,,ub0,d,13.0,0.95,YoutubeCoverage,34.0,12.219069745533055,0.07852387428283691,2,,False,7
youtube,1000,0,Efficient,,ub0,d,14.0,0.95,YoutubeCoverage,35.0,13.220896004528647,0.12560224533081055,2,,False,8
youtube,1000,0,Efficient,,ub0,d,15.0,0.95,YoutubeCoverage,36.0,14.22295358796627,0.12561631202697754,2,,False,9
youtube,1000,0,EfficientBFS,Standard,ub2,,6.0,0.95,,18.0,5.845890557369895,5000.0,13129,1.0,True,5
youtube,1000,0,EfficientBFS,Standard,ub2,,6.0,0.98,,18.0,5.845890557369895,0.22638368606567383,1,1.0,False,5
youtube,1000,0,EfficientBFS,Standard,ub2,,6.0,1.0,,18.0,5.845890557369895,0.2043454647064209,1,1.0,False,5
youtube,1000,0,EfficientBFS,Standard,ub2,,7.0,0.95,,23.0,6.044828632797984,0.28246521949768066,2,1.0,False,2
youtube,1000,0,EfficientBFS,Standard,ub2,,7.0,0.98,,23.0,6.044828632797984,0.22148656845092773,1,1.0,False,2
youtube,1000,0,EfficientBFS,Standard,ub2,,7.0,1.0,,23.0,6.044828632797984,0.18839430809020996,1,1.0,False,2
youtube,1000,0,EfficientBFS,Standard,ub2,,8.0,0.95,,26.0,7.112734725094761,1.2337055206298828,3,1.0,False,3
youtube,1000,0,EfficientBFS,Standard,ub2,,8.0,0.98,,26.0,7.112734725094761,0.3631887435913086,1,1.0,False,3
youtube,1000,0,EfficientBFS,Standard,ub2,,8.0,1.0,,26.0,7.112734725094761,0.25130343437194824,1,1.0,False,3
youtube,1000,0,EfficientBFS,Standard,ub2,,9.0,0.95,,28.0,8.11421409556402,2.13519024848938,4,1.0,False,4
youtube,1000,0,EfficientBFS,Standard,ub2,,9.0,0.98,,28.0,8.11421409556402,0.23523545265197754,1,1.0,False,4
youtube,1000,0,EfficientBFS,Standard,ub2,,9.0,1.0,,28.0,8.11421409556402,0.265120267868042,1,1.0,False,4
youtube,1000,0,EfficientBFS,Standard,ub2,,10.0,0.95,,30.0,9.146583780220634,0.09431958198547363,1,1.0,False,5
youtube,1000,0,EfficientBFS,Standard,ub2,,10.0,0.98,,30.0,9.146583780220634,0.0947885513305664,1,1.0,False,5
youtube,1000,0,EfficientBFS,Standard,ub2,,10.0,1.0,,30.0,9.146583780220634,0.25086283683776855,1,1.0,False,5
youtube,1000,0,EfficientBFS,Standard,ub2,,11.0,0.95,,32.0,10.676746640047597,0.09364724159240723,1,1.0,False,6
