Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,Meta_Version,Meta_Created_UTC,Meta_Config_Path,Meta_Strategy_Raw,Flag_LocalSearch,Flag_Cascade,Flag_NoInherit,Flag_Adaptive,Adaptive_Ratio
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-19.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,19.954362392425537,1,1,False,11,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub2-d-20.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,20.152141571044922,1,1,False,11,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-6.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,4.059131383895874,5,4,False,5,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-7.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.886663564213159,5000.302578210831,4620,4624,True,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-8.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,9.075331449508667,8,7,False,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-9.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,5000.005207061768,4355,4356,True,7,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-10.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,5000.3079216480255,4370,4373,True,7,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-11.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,11.0,0.95,AdultIncomeFeatureSelection,8.83943887520972,10.568743844147996,5000.2500030994415,4602,4616,True,7,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-12.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,5000.211980581284,4469,4481,True,8,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-13.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,5000.011868953705,4380,4397,True,9,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-14.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,2.6245009899139404,1,0,False,9,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBranchAndBound-none-ub0-d-15.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBranchAndBound,,ub0,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.411698881418511,2.735062837600708,1,0,False,10,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-6.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,5025.898359537125,2,67,True,4,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-7.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,5043.798418998718,2,73,True,5,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-8.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,5053.851286411285,2,77,True,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-9.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,5008.398464441299,2,77,True,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-10.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,5053.353444337845,2,78,True,7,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-11.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,5014.831328392029,2,77,True,8,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-12.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,5058.186357498169,2,77,True,9,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-13.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,5038.1527597904205,2,77,True,10,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-14.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,14.0,0.95,CalTechMaximization,614.7149698916422,13.045571040868357,5022.399919509888,2,76,True,10,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\BFSTC-none-ub0-d-15.0-0.95-CalTechMaximization.json,109,caltech,769,0,BFSTC,,ub0,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,5038.508911371231,2,79,True,11,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-11.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,143.09300875663757,1,1,False,8,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-12.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,142.34655833244324,1,1,False,9,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-13.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,284.71293020248413,3,1,False,10,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-14.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,14.0,0.95,CalTechMaximization,626.8395919257168,13.812851698243652,711.3279945850372,9,1,False,10,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-15.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,269.100058555603,3,1,False,11,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-16.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,16.0,0.95,CalTechMaximization,695.412822430591,15.338569691818655,404.7188718318939,5,1,False,11,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-17.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,17.0,0.95,CalTechMaximization,732.8545902285284,16.438089217132806,271.4840610027313,3,1,False,12,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-18.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,18.0,0.95,CalTechMaximization,767.9919679554486,17.93913829028579,413.2940764427185,5,1,False,12,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-19.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,19.0,0.95,CalTechMaximization,796.1624584663527,18.280001470056177,417.20315742492676,5,1,False,13,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub0-d-20.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub0,d,20.0,0.95,CalTechMaximization,824.5216490409939,19.11456811953035,677.9988005161285,9,1,False,13,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-11.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,143.51577353477478,1,1,False,8,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-12.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,148.6465950012207,1,1,False,9,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-13.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,147.56947588920593,1,1,False,10,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-14.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,14.0,0.95,CalTechMaximization,620.7603520539732,13.712053464547168,554.0373871326447,7,1,False,10,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-15.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,15.0,0.95,CalTechMaximization,678.7285939257744,14.887483293791728,142.50963759422302,1,1,False,11,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-16.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,16.0,0.95,CalTechMaximization,695.412822430591,15.338569691818655,287.31448006629944,3,1,False,11,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-17.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,17.0,0.95,CalTechMaximization,732.8545902285284,16.438089217132806,286.00417399406433,3,1,False,12,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-18.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,18.0,0.95,CalTechMaximization,767.9919679554486,17.93913829028579,442.66801404953003,5,1,False,12,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-19.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,19.0,0.95,CalTechMaximization,796.1624584663527,18.280001470056177,445.8145489692688,5,1,False,13,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBFS-traditional-ub2-d-20.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBFS,traditional,ub2,d,20.0,0.95,CalTechMaximization,824.5216490409939,19.11456811953035,407.99418783187866,5,1,False,13,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-6.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,6.0,0.95,CalTechMaximization,332.9995976277473,5.973043973728588,113.38921451568604,2,1,False,4,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-7.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,7.0,0.95,CalTechMaximization,381.6827077759318,6.988963521608006,115.4036955833435,2,1,False,5,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-8.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,8.0,0.95,CalTechMaximization,400.23535000729504,7.994854452931519,310.46209621429443,5,4,False,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-9.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,9.0,0.95,CalTechMaximization,435.99797546790063,8.29148845285618,5000.034203290939,45,45,True,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-10.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,10.0,0.95,CalTechMaximization,479.7616192356273,9.376415862154637,398.29548954963684,5,4,False,7,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-11.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,11.0,0.95,CalTechMaximization,535.0740645548774,10.81933786109785,112.31951403617859,2,1,False,8,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-12.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,12.0,0.95,CalTechMaximization,575.8371528682162,11.957783788078373,115.1003029346466,2,1,False,9,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-13.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,13.0,0.95,CalTechMaximization,601.2784189472019,12.982269016325954,227.5134527683258,3,2,False,10,v1,,,,False,False,False,False,0.4
..\result\archive-109\caltech\0\769\EfficientBranchAndBound-none-ub0-d-14.0-0.95-CalTechMaximization.json,109,caltech,769,0,EfficientBranchAndBound,,ub0,d,14.0,0.95,CalTechMaximization,614.7149698916422,13.045571040868357,5000.38041973114,51,53,True,10,v1,,,,False,False,False,False,0.4
