Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,19.0,0.95,FacebookGraphCoverage,517.0,18.35051222762937,90.9305465221405,33,1.0,False,13
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,20.0,0.95,FacebookGraphCoverage,527.0,19.38904518236049,104.07625555992126,34,1.0,False,14
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,21.0,0.95,FacebookGraphCoverage,537.0,20.617703368064326,166.57840156555176,53,1.0,False,15
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,22.0,0.95,FacebookGraphCoverage,547.0,21.94363150673523,181.3865966796875,53,1.0,False,16
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,23.0,0.95,FacebookGraphCoverage,554.0,22.77694214327672,331.88049697875977,86,1.0,False,16
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,24.0,0.95,FacebookGraphCoverage,561.0,23.814213104937117,344.2622616291046,84,1.0,False,17
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,25.0,0.95,FacebookGraphCoverage,564.0,24.102870281947624,903.8693768978119,222,1.0,False,17
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,26.0,0.95,FacebookGraphCoverage,576.0,25.7387711858914,942.1821508407593,220,1.0,False,18
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,27.0,0.95,FacebookGraphCoverage,585.0,26.997919918260145,1123.8636717796326,246,1.0,False,19
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,28.0,0.95,FacebookGraphCoverage,585.0,27.999399288729407,1238.3458695411682,261,1.0,False,20
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,29.0,0.95,FacebookGraphCoverage,592.0,28.035190879920542,1770.8086154460907,402,1.0,False,20
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,30.0,0.95,FacebookGraphCoverage,602.0,29.386194906907036,2065.9900958538055,504,1.0,False,20
youtube,1000,0,BFSTC,,,,ub0,d,6.0,0.95,YoutubeCoverage,18.0,5.845890557369895,5000.2830102443695,37,20278.0,True,5
youtube,1000,0,BFSTC,,,,ub0,d,7.0,0.95,YoutubeCoverage,23.0,6.044828632797984,5000.297391653061,31,17474.0,True,2
youtube,1000,0,BFSTC,,,,ub0,d,8.0,0.95,YoutubeCoverage,26.0,7.112734725094761,5000.0799605846405,46,14858.0,True,3
youtube,1000,0,BFSTC,,,,ub0,d,9.0,0.95,YoutubeCoverage,28.0,8.11421409556402,5000.480872869492,43,8300.0,True,4
youtube,1000,0,BFSTC,,,,ub0,d,10.0,0.95,YoutubeCoverage,30.0,9.146583780220634,0.19384551048278809,1,0.0,False,5
youtube,1000,0,BFSTC,,,,ub0,d,11.0,0.95,YoutubeCoverage,32.0,10.676746640047597,0.1580033302307129,1,0.0,False,6
youtube,1000,0,BFSTC,,,,ub0,d,12.0,0.95,YoutubeCoverage,33.0,11.67857289904319,0.07300233840942383,1,0.0,False,7
youtube,1000,0,BFSTC,,,,ub0,d,13.0,0.95,YoutubeCoverage,34.0,12.219069745533055,5000.293960571289,14,12871.0,True,7
youtube,1000,0,BFSTC,,,,ub0,d,14.0,0.95,YoutubeCoverage,35.0,13.220896004528647,5000.08345580101,19,17438.0,True,8
youtube,1000,0,BFSTC,,,,ub0,d,15.0,0.95,YoutubeCoverage,36.0,14.22295358796627,5000.242901325226,19,16956.0,True,9
youtube,1000,0,Efficient,,,,ub0,d,6.0,0.95,YoutubeCoverage,18.0,5.845890557369895,5000.0722687244415,19170,,True,5
youtube,1000,0,Efficient,,,,ub2,d,6.0,0.95,YoutubeCoverage,18.0,5.845890557369895,0.32943177223205566,3,,False,5
youtube,1000,0,Efficient,,,,ub0,d,7.0,0.95,YoutubeCoverage,23.0,6.044828632797984,0.046938419342041016,2,,False,2
youtube,1000,0,Efficient,,,,ub0,d,8.0,0.95,YoutubeCoverage,26.0,7.112734725094761,0.04696774482727051,2,,False,3
youtube,1000,0,Efficient,,,,ub0,d,9.0,0.95,YoutubeCoverage,28.0,8.11421409556402,0.1543734073638916,2,,False,4
youtube,1000,0,Efficient,,,,ub0,d,10.0,0.95,YoutubeCoverage,30.0,9.146583780220634,0.04733681678771973,1,,False,5
youtube,1000,0,Efficient,,,,ub0,d,11.0,0.95,YoutubeCoverage,32.0,10.676746640047597,0.047295331954956055,1,,False,6
youtube,1000,0,Efficient,,,,ub0,d,12.0,0.95,YoutubeCoverage,33.0,11.67857289904319,0.07855558395385742,1,,False,7
youtube,1000,0,Efficient,,,,ub0,d,13.0,0.95,YoutubeCoverage,34.0,12.219069745533055,0.07852387428283691,2,,False,7
youtube,1000,0,Efficient,,,,ub0,d,14.0,0.95,YoutubeCoverage,35.0,13.220896004528647,0.12560224533081055,2,,False,8
youtube,1000,0,Efficient,,,,ub0,d,15.0,0.95,YoutubeCoverage,36.0,14.22295358796627,0.12561631202697754,2,,False,9
youtube,1000,0,Efficient,,,,ub0,d,16.0,0.95,YoutubeCoverage,37.0,15.225859623648423,0.1568315029144287,2,,False,10
youtube,1000,0,Efficient,,,,ub0,d,17.0,0.95,YoutubeCoverage,38.0,16.232424660776612,0.17307066917419434,2,,False,11
