Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,18.655495405197144,1,1,11
adult,111,0,EfficientBFS,injection,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,18.573261260986328,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,19.139378547668457,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,17.956700801849365,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,18.49261784553528,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.44745659828186,1,1,11
adult,111,0,EfficientBFS,injection,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.305558919906616,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.542624473571777,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.7347195148468,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.55676531791687,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.525254011154175,1,1,11
adult,111,0,EfficientBFS,injection,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.25413966178894,1,1,11
