Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
adult,111,0,EfficientBFS,traditional,ub2,d,,,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.79095721244812,1,1.0,False,11
adult,111,0,EfficientBFS,density_gap,ub2,d,,,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.559141874313354,1,1.0,False,11
adult,111,0,EfficientBFS,fullbab,ub2,d,,,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,22.317131996154785,1,1.0,False,11
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,19.048158407211304,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,18.857052326202393,1,1.0,False,11
adult,111,0,EfficientBFS,density_gap,ub2,d,,,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,18.324655055999756,1,1.0,False,12
adult,111,0,EfficientBFS,fullbab,ub2,d,,,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,22.005051136016846,1,1.0,False,12
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.412322998046875,1,1.0,False,12
adult,111,0,EfficientBFS,traditional,ub2,d,,,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,19.284092664718628,1,1.0,False,12
adult,111,0,EfficientBFS,density_gap,ub2,d,,,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.412850379943848,1,1.0,False,13
adult,111,0,EfficientBFS,fullbab,ub2,d,,,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,22.00633144378662,1,1.0,False,13
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,19.091445207595825,1,1.0,False,13
adult,111,0,EfficientBFS,traditional,ub2,d,,,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,18.696340322494507,1,1.0,False,13
adult,111,0,EfficientBFS,density_gap,ub2,d,,,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,19.097938537597656,1,1.0,False,14
adult,111,0,EfficientBFS,fullbab,ub2,d,,,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,21.960570573806763,1,1.0,False,14
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,18.69817805290222,1,1.0,False,14
adult,111,0,EfficientBFS,traditional,ub2,d,,,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,18.808937311172485,1,1.0,False,14
adult,111,0,EfficientBFS,density_gap,ub2,d,,,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,18.742215633392334,1,1.0,False,15
adult,111,0,EfficientBFS,fullbab,ub2,d,,,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,21.771434783935547,1,1.0,False,15
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,19.139869928359985,1,1.0,False,15
adult,111,0,EfficientBFS,traditional,ub2,d,,,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,19.43812108039856,1,1.0,False,15
adult,111,0,EfficientBFS,density_gap,ub2,d,,,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,19.183350324630737,1,1.0,False,16
adult,111,0,EfficientBFS,fullbab,ub2,d,,,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,21.942440032958984,1,1.0,False,16
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,19.461454153060913,1,1.0,False,16
adult,111,0,EfficientBFS,traditional,ub2,d,,,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.963614225387573,1,1.0,False,16
adult,111,0,EfficientBFS,density_gap,ub2,d,,,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.603804111480713,1,1.0,False,16
adult,111,0,EfficientBFS,fullbab,ub2,d,,,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,22.04306411743164,1,1.0,False,16
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,18.737714052200317,1,1.0,False,16
adult,111,0,EfficientBFS,traditional,ub2,d,,,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,19.255510807037354,1,1.0,False,16
adult,111,0,EfficientBFS,density_gap,ub2,d,,,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,20.186577320098877,1,1.0,False,17
adult,111,0,EfficientBFS,fullbab,ub2,d,,,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,22.364783763885498,1,1.0,False,17
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,18.942007780075073,1,1.0,False,17
adult,111,0,EfficientBFS,traditional,ub2,d,,,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,18.5845468044281,1,1.0,False,17
